zip_code,median_household_income,vehicle_count,P1_001N,vehicle_per_person
98672,68594.0,232.0,7370.0,0.031478968792401626
98673,31250.0,1.0,371.0,0.0026954177897574125
98674,75487.0,233.0,14415.0,0.016163718348942074
98675,78047.0,67.0,7688.0,0.008714880332986473
98682,76299.0,1278.0,65434.0,0.01953113060488431
98683,71835.0,898.0,33884.0,0.026502183921614922
98684,71667.0,659.0,33659.0,0.019578715945215246
98685,106059.0,960.0,29797.0,0.03221800852434809
98686,86543.0,704.0,21462.0,0.03280216196067468
98801,62595.0,543.0,44970.0,0.012074716477651768
98802,71093.0,349.0,32378.0,0.010778923960714065
98811,89609.0,0.0,76.0,0.0
98812,47717.0,24.0,5161.0,0.004650261577213718
98813,48500.0,3.0,2769.0,0.0010834236186348862
98814,53298.0,6.0,525.0,0.011428571428571429
98815,61672.0,95.0,7804.0,0.012173244490005125
98816,56582.0,199.0,7067.0,0.02815904910145748
98817,71279.0,2.0,366.0,0.00546448087431694
98819,28333.0,1.0,280.0,0.0035714285714285713
98821,112318.0,1.0,434.0,0.002304147465437788
98822,47000.0,28.0,2253.0,0.012427873945849977
98823,70472.0,100.0,12393.0,0.008069071249899137
98824,40313.0,0.0,160.0,0.0
98826,61470.0,299.0,7280.0,0.04107142857142857
98827,65110.0,0.0,337.0,0.0
98828,69362.0,28.0,2419.0,0.011575031004547334
98829,36607.0,0.0,716.0,0.0
98830,51771.0,4.0,531.0,0.007532956685499058
98831,52070.0,94.0,3955.0,0.02376738305941846
98832,50625.0,2.0,349.0,0.0057306590257879654
98833,69615.0,25.0,240.0,0.10416666666666667
98834,61111.0,4.0,246.0,0.016260162601626018
98836,40653.0,0.0,515.0,0.0
98837,60793.0,414.0,46262.0,0.0089490294410099
98840,50788.0,7.0,4731.0,0.0014796026210103573
98841,48829.0,25.0,8984.0,0.0027827248441674086
98843,56168.0,67.0,2074.0,0.03230472516875603
98844,43306.0,26.0,4599.0,0.005653402913676886
98845,46875.0,2.0,138.0,0.014492753623188406
98846,66622.0,11.0,1074.0,0.010242085661080074
98847,52442.0,27.0,1885.0,0.014323607427055704
98848,64893.0,127.0,13392.0,0.009483273596176822
98849,44632.0,6.0,1220.0,0.004918032786885246
98850,52094.0,16.0,1964.0,0.008146639511201629
98851,47643.0,28.0,4472.0,0.006261180679785331
98855,38933.0,23.0,6115.0,0.0037612428454619788
98856,50625.0,57.0,2776.0,0.02053314121037464
98857,42591.0,12.0,3999.0,0.003000750187546887
98858,62645.0,6.0,1620.0,0.003703703703703704
98859,85500.0,0.0,230.0,0.0
98860,29583.0,0.0,259.0,0.0
98862,59349.0,116.0,2764.0,0.041968162083936326
98901,45062.0,164.0,32351.0,0.005069395072795277
98902,47283.0,198.0,47589.0,0.004160625354598752
98903,56754.0,122.0,17491.0,0.006975015722371506
98908,67016.0,402.0,38205.0,0.010522182960345504
98922,61071.0,286.0,6817.0,0.041953938682705
98923,40888.0,7.0,1281.0,0.00546448087431694
98925,57031.0,25.0,608.0,0.04111842105263158
98926,59415.0,359.0,32085.0,0.011189029141343306
98930,52145.0,47.0,15339.0,0.00306408501206076
98932,59208.0,9.0,5409.0,0.0016638935108153079
98933,63194.0,1.0,1292.0,0.0007739938080495357
98934,51364.0,9.0,1164.0,0.007731958762886598
98935,50956.0,10.0,4049.0,0.0024697456162015314
98936,78920.0,43.0,6846.0,0.006281040023371312
98937,67170.0,30.0,4423.0,0.006782726656115758
98938,60199.0,11.0,2112.0,0.005208333333333333
98939,33750.0,2.0,194.0,0.010309278350515464
98941,54917.0,25.0,988.0,0.025303643724696356
98942,70660.0,118.0,18511.0,0.006374588082761601
98943,47697.0,4.0,574.0,0.006968641114982578
98944,48041.0,79.0,22412.0,0.003524897376405497
98946,59000.0,7.0,488.0,0.014344262295081968
98947,51776.0,13.0,3133.0,0.004149377593360996
98948,53108.0,19.0,13416.0,0.0014162194394752535
98951,49238.0,24.0,13821.0,0.0017364879531148252
98952,47837.0,1.0,2347.0,0.00042607584149978694
98953,70689.0,42.0,6841.0,0.00613945329630171
99001,54489.0,45.0,8859.0,0.005079580088046055
99003,62477.0,43.0,5302.0,0.008110147114296492
99004,58343.0,195.0,23064.0,0.008454734651404786
99005,103420.0,160.0,10253.0,0.015605188725251146
99006,59400.0,85.0,13711.0,0.006199401940048137
99008,45208.0,4.0,634.0,0.006309148264984227
99009,60469.0,33.0,4096.0,0.008056640625
99011,60133.0,21.0,2695.0,0.007792207792207792
99012,59375.0,1.0,1018.0,0.0009823182711198428
99013,47500.0,5.0,1914.0,0.002612330198537095
99016,70635.0,319.0,18496.0,0.0172469723183391
99017,33750.0,1.0,167.0,0.005988023952095809
99018,50000.0,3.0,285.0,0.010526315789473684
99019,98453.0,293.0,12813.0,0.022867400296573793
99021,72160.0,94.0,9690.0,0.009700722394220845
99022,76775.0,74.0,8867.0,0.008345550919138378
99023,119107.0,6.0,685.0,0.008759124087591242
99025,73021.0,50.0,5272.0,0.009484066767830045
99026,81701.0,130.0,9347.0,0.013908205841446454
99027,63750.0,63.0,6556.0,0.009609517998779744
99029,77500.0,10.0,1785.0,0.0056022408963585435
99030,66375.0,5.0,1131.0,0.004420866489832007
99031,75653.0,12.0,1441.0,0.008327550312283136
99032,61484.0,3.0,773.0,0.0038809831824062097
99033,60368.0,4.0,954.0,0.0041928721174004195
99036,123664.0,31.0,1579.0,0.019632678910702975
99037,67189.0,189.0,15907.0,0.011881561576664361
99039,55769.0,1.0,121.0,0.008264462809917356
99040,34076.0,2.0,825.0,0.0024242424242424242
99101,58125.0,4.0,1517.0,0.0026367831245880024
99102,73800.0,1.0,544.0,0.001838235294117647
99103,80357.0,2.0,495.0,0.00404040404040404
99109,50953.0,26.0,5016.0,0.00518341307814992
99110,55341.0,5.0,1853.0,0.002698327037236913
99111,55696.0,29.0,4029.0,0.0071978158351948375
99113,62308.0,3.0,722.0,0.004155124653739612
99114,51875.0,65.0,12649.0,0.0051387461459403904
99115,54722.0,15.0,1227.0,0.012224938875305624
99116,58819.0,6.0,1476.0,0.0040650406504065045
99117,77643.0,1.0,472.0,0.00211864406779661
99118,46563.0,7.0,786.0,0.008905852417302799
99119,54565.0,10.0,1293.0,0.007733952049497293
99122,58482.0,24.0,3989.0,0.006016545500125345
