GEO_ID,NAME,P1_001N
860Z200US99343,ZCTA5 99343,3206
860Z200US99344,ZCTA5 99344,18948
860Z200US99345,ZCTA5 99345,159
860Z200US99346,ZCTA5 99346,345
860Z200US99347,ZCTA5 99347,2342
860Z200US99348,ZCTA5 99348,1685
860Z200US99349,ZCTA5 99349,7960
860Z200US99350,ZCTA5 99350,13240
860Z200US99352,ZCTA5 99352,35762
860Z200US99353,ZCTA5 99353,17934
860Z200US99354,ZCTA5 99354,24839
860Z200US99356,ZCTA5 99356,290
860Z200US99357,ZCTA5 99357,4240
860Z200US99359,ZCTA5 99359,155
860Z200US99360,ZCTA5 99360,1428
860Z200US99361,ZCTA5 99361,1908
860Z200US99362,ZCTA5 99362,43249
860Z200US99363,ZCTA5 99363,169
860Z200US99371,ZCTA5 99371,346
860Z200US99401,ZCTA5 99401,286
860Z200US99402,ZCTA5 99402,1814
860Z200US99403,ZCTA5 99403,20224
